destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
South Dakota,2018,871271,740970,100177,26775,3349,Alaska,0
Tennessee,2018,6692936,5706212,748791,209377,28556,Alaska,1137
Texas,2018,28333482,23992374,3575604,563945,201559,Alaska,2375
Utah,2018,3114717,2583764,408033,100824,22096,Alaska,494
Vermont,2018,621681,542177,50818,26306,2380,Alaska,0
Virginia,2018,8424340,7142767,947475,274003,60095,Alaska,1235
Washington,2018,7453439,6101533,1028654,260906,62346,Alaska,3520
West Virginia,2018,1787630,1585832,156420,43841,1537,Alaska,0
Wisconsin,2018,5751525,4960260,659159,114613,17493,Alaska,484
Wyoming,2018,570867,479561,62957,25734,2615,Alaska,0
Puerto Rico,2018,3173956,2915696,234174,20900,3186,Alaska,0
Alabama,2019,4849509,4197698,534842,104780,12189,Alaska,1105
Alaska,2019,722063,609362,74375,34031,4295,Alaska,0
Arizona,2019,7200620,6038776,861935,253295,46614,Alaska,1561
Arkansas,2019,2989054,2559444,361762,59723,8125,Alaska,98
California,2019,39084048,34394220,3943139,480204,266485,Alaska,5064
Colorado,2019,5701658,4695821,736314,240600,28923,Alaska,862
Connecticut,2019,3531986,3106754,306070,90044,29118,Alaska,220
Delaware,2019,964817,843383,79186,38014,4234,Alaska,294
District of Columbia ,2019,697556,563798,64893,58879,9986,Alaska,338
Florida,2019,21269409,18083185,2381208,601611,203405,Alaska,4906
Georgia,2019,10499808,9034705,1130068,284541,50494,Alaska,1378
Hawaii,2019,1396819,1215974,116566,49708,14571,Alaska,907
Idaho,2019,1764327,1478739,200377,78730,6481,Alaska,674
Illinois,2019,12536539,11014059,1274091,190627,57762,Alaska,135
Indiana,2019,6656971,5735703,743092,151443,26733,Alaska,184
Iowa,2019,3121385,2686528,348082,72651,14124,Alaska,425
Kansas,2019,2879518,2426897,345003,94648,12970,Alaska,7
Kentucky,2019,4421512,3792437,517128,100057,11890,Alaska,855
Louisiana,2019,4595111,4018892,491341,67640,17238,Alaska,1194
Maine,2019,1331656,1162558,128105,36129,4864,Alaska,318
Maryland,2019,5979602,5224363,569388,141766,44085,Alaska,0
Massachusetts,2019,6828110,5975607,644535,144079,63889,Alaska,553
Michigan,2019,9880758,8606216,1104190,132008,38344,Alaska,222
Minnesota,2019,5575235,4836702,606228,106920,25385,Alaska,1240
Mississippi,2019,2943737,2583691,291479,61683,6884,Alaska,80
Missouri,2019,6069697,5200465,694303,152345,22584,Alaska,927
Montana,2019,1056994,882156,129779,40862,4197,Alaska,1124
Nebraska,2019,1910711,1622237,234322,46064,8088,Alaska,127
Nevada,2019,3048602,2510591,384676,132950,20385,Alaska,2850
New Hampshire,2019,1350155,1173997,119189,50288,6681,Alaska,392
New Jersey,2019,8791672,7888800,689445,149260,64167,Alaska,457
New Mexico,2019,2073628,1816418,189705,55545,11960,Alaska,950
New York,2019,19240920,17213380,1638372,254806,134362,Alaska,596
North Carolina,2019,10371906,8834381,1170200,315215,52110,Alaska,1568
North Dakota,2019,750501,615450,94413,36668,3970,Alaska,214
Ohio,2019,11556037,9891733,1415185,205542,43577,Alaska,468
Oklahoma,2019,3907258,3282746,509137,101844,13531,Alaska,188
Oregon,2019,4178578,3527178,501680,129921,19799,Alaska,2068
Pennsylvania,2019,12670245,11092255,1259103,267465,51422,Alaska,1008
Rhode Island,2019,1050602,930406,80686,34984,4526,Alaska,0
South Carolina,2019,5092727,4414770,478892,176008,23057,Alaska,680
South Dakota,2019,872708,739009,102133,26934,4632,Alaska,14
Tennessee,2019,6754461,5782145,755183,196765,20368,Alaska,1506
Texas,2019,28642658,24347958,3517954,559661,217085,Alaska,4622
Utah,2019,3162102,2661654,389057,95608,15783,Alaska,526
Vermont,2019,617560,536752,57776,21212,1820,Alaska,402
Virginia,2019,8439982,7201805,903735,264855,69587,Alaska,1256
Washington,2019,7527366,6253469,977928,231956,64013,Alaska,4255
West Virginia,2019,1773280,1563611,164739,39548,5382,Alaska,192
Wisconsin,2019,5760481,5001140,634732,107973,16636,Alaska,1070
Wyoming,2019,572884,473128,68127,30247,1382,Alaska,54
Puerto Rico,2019,3175835,2968876,169733,31144,6082,Alaska,0
Alabama,2021,4989797,4392571,468964,115641,12621,Alaska,12
Alaska,2021,723949,625088,63611,31378,3872,Alaska,0
Arizona,2021,7202745,6144045,759450,264948,34302,Alaska,3586
Arkansas,2021,2990311,2595527,312848,76108,5828,Alaska,145
California,2021,38833197,34461724,3749371,433402,188700,Alaska,3049
